id,cluster_id,cluster_name,distance_from_centroid
1010,0,High-Quality Compounders,0.16855169575587475
429,0,High-Quality Compounders,0.1415139949361604
843,0,High-Quality Compounders,0.18134280343117704
461,0,High-Quality Compounders,0.18362730998834428
723,0,High-Quality Compounders,0.1836884438400149
48,0,High-Quality Compounders,0.406381166751384
297,0,High-Quality Compounders,2.6960493826001315
72,0,High-Quality Compounders,0.10732869500976426
191,0,High-Quality Compounders,0.18820332912862248
519,3,Distressed or Turnaround,0.8835558976794431
393,0,High-Quality Compounders,0.15851064151263677
1022,0,High-Quality Compounders,0.17701329793031953
125,0,High-Quality Compounders,0.17957425032193128
28,0,High-Quality Compounders,0.06563696639073817
634,0,High-Quality Compounders,0.18506844317117738
831,0,High-Quality Compounders,0.6940208105053459
735,0,High-Quality Compounders,0.07486417455118866
124,0,High-Quality Compounders,0.17957425032193128
201,0,High-Quality Compounders,0.7492911159346138
507,0,High-Quality Compounders,1.0097175800508582
1118,0,High-Quality Compounders,0.08624702865366007
1142,0,High-Quality Compounders,0.048600187815298124
795,0,High-Quality Compounders,0.14242700156923885
635,0,High-Quality Compounders,0.18514681702303604
1089,0,High-Quality Compounders,0.17771521051535893
1090,0,High-Quality Compounders,0.17771521051535893
1071,0,High-Quality Compounders,0.18254770670873632
647,0,High-Quality Compounders,0.10845792601981148
661,0,High-Quality Compounders,0.12412877106592567
760,0,High-Quality Compounders,0.10758809195334101
673,0,High-Quality Compounders,0.08516733031364959
796,0,High-Quality Compounders,0.14245475997613002
940,0,High-Quality Compounders,0.3807512430795332
1119,0,High-Quality Compounders,0.09669757735657464
808,0,High-Quality Compounders,0.0778929899742332
923,0,High-Quality Compounders,0.052871675970070316
922,0,High-Quality Compounders,0.052871675970070316
820,0,High-Quality Compounders,0.14915486107290543
1143,0,High-Quality Compounders,0.0675491929233846
